#plant
177,40,192	173,38,190	174,39,191
174,39,191	177,42,196	177,42,196
174,39,191	179,44,198	179,44,198
106,20,131	107,21,130	107,19,129
110,20,133	108,18,131	104,15,125
108,15,129	111,18,132	109,16,130
134,30,177	138,32,180	141,33,181
129,26,170	138,33,178	142,33,178
129,26,169	137,32,177	140,28,174
145,31,170	147,31,168	145,29,166
145,31,168	147,33,172	145,31,170
146,32,171	145,31,170	147,33,172
112,13,139	110,12,135	112,14,137
110,14,137	112,16,139	111,13,136
106,12,132	109,15,135	109,13,136
198,54,211	199,58,215	202,60,220
196,56,207	200,59,213	195,54,210
190,50,201	191,51,202	193,52,206
131,23,142	129,25,140	130,26,139
132,24,143	131,27,142	131,27,142
134,26,145	133,26,142	131,27,142
102,20,146	98,16,142	96,14,140
98,18,143	99,18,146	99,18,146
95,16,141	101,20,148	101,20,148
135,27,164	134,26,163	137,29,166
136,28,165	137,29,166	137,31,167
136,28,165	136,28,165	132,24,161
107,15,142	107,16,143	109,20,146
114,23,150	112,21,148	111,22,150
113,22,149	112,21,148	111,20,149
153,36,169	153,35,171	155,37,175
149,32,165	154,36,172	152,36,173
153,35,171	154,36,172	151,35,172



#background
154,47,225	155,46,225	155,46,225
159,50,229	158,49,226	157,48,225
159,50,229	157,48,225	156,47,224
122,43,214	121,42,213	122,40,212
123,44,215	121,42,213	121,42,213
120,41,212	121,42,213	122,43,214
48,4,65	46,2,63	47,3,62
47,3,64	50,6,67	49,5,64
49,3,65	47,1,63	48,2,64
65,11,89	62,9,89	57,6,83
64,10,88	67,14,94	63,10,90
66,13,93	68,13,96	63,10,90
107,33,192	108,32,193	107,31,192
109,33,193	107,31,191	106,30,190
107,31,191	107,31,191	104,28,188
41,0,56	43,2,58	44,0,59
44,3,59	42,1,57	43,0,58
45,4,62	43,2,60	42,1,59
126,9,150	124,7,148	131,14,154
132,15,156	128,11,152	133,16,157
129,15,154	126,12,151	130,16,155
104,36,199	102,34,197	103,35,198
104,36,197	101,35,197	101,35,197
103,35,196	100,34,196	101,35,197
59,4,87	59,6,88	58,5,85
58,5,87	59,6,86	57,4,84
59,6,88	60,7,89	57,4,84
126,32,180	122,30,177	119,27,174
127,33,181	120,28,175	116,24,171
120,26,174	117,25,170	115,26,170
18,2,39	19,3,42	21,3,43
20,4,41	18,2,41	18,1,43
20,4,41	18,2,41	18,1,43
41,3,76	45,7,80	47,6,82
37,4,73	41,5,77	45,7,82
35,2,71	40,7,76	46,10,82
122,47,226	126,51,229	124,49,227
124,51,229	125,52,229	124,49,227
122,49,227	124,51,228	126,53,230


