#plant
27,31,16	28,31,14	27,30,13
40,42,28	40,42,28	35,38,21
26,30,15	28,32,17	28,32,17
51,50,32	51,50,32	54,55,37
57,59,38	60,61,43	63,64,48
51,53,32	55,56,38	55,56,40
98,70,58	96,66,55	98,68,57
88,62,49	97,69,57	96,67,53
72,45,34	86,58,46	87,59,47
29,26,9	31,28,9	31,28,11
26,23,6	28,25,8	25,24,4
24,21,4	23,20,3	25,24,6
47,59,11	47,59,11	53,65,19
50,62,16	50,62,16	48,60,12
53,65,17	51,63,15	51,60,13
106,96,45	111,101,52	116,108,59
114,104,55	114,103,57	117,109,63
120,112,66	117,109,63	120,112,66
112,93,60	114,98,62	119,103,67
115,96,64	113,97,63	113,97,61
113,94,62	109,90,57	108,92,56
25,37,0	25,38,0	28,41,0
21,33,0	24,36,0	26,38,0
25,37,1	25,37,0	23,38,0
106,83,33	115,88,35	129,100,42
116,91,35	124,98,41	135,106,46
124,100,38	129,105,41	129,104,40
35,51,12	22,40,2	22,40,2
30,46,7	23,39,2	21,39,1
22,38,1	23,39,2	22,38,1
114,84,50	108,79,45	104,75,41
111,80,49	108,79,45	104,75,41
120,91,59	111,82,48	101,72,38


#background
191,190,198	191,190,198	191,190,198
189,188,196	190,189,197	191,190,198
191,190,198	190,190,198	189,189,197
124,121,130	124,121,130	126,123,132
127,126,132	124,121,128	125,122,129
124,123,129	127,124,131	127,124,131
28,29,23	30,29,24	36,35,30
32,33,27	31,32,26	39,38,33
34,34,26	38,38,30	39,40,32
30,31,26	31,30,25	29,29,21
23,24,19	34,33,28	35,35,27
33,34,28	34,34,26	39,36,27
112,93,60	114,98,62	119,103,67
115,96,64	113,97,63	113,97,61
113,94,62	109,90,57	108,92,56
112,93,60	114,98,62	119,103,67
115,96,64	113,97,63	113,97,61
113,94,62	109,90,57	108,92,56
79,71,58	80,74,58	80,74,58
80,72,59	78,72,56	81,75,59
81,74,58	81,74,58	81,74,58
200,202,199	202,203,198	202,203,198
200,202,199	202,204,199	202,203,198
200,202,199	201,203,198	202,204,199
51,53,50	57,59,56	61,63,60
53,55,50	63,65,62	65,67,64
65,67,62	67,68,63	64,64,62

