plant	background
27,31,16	191,190,198
28,31,14	191,190,198
27,30,13	191,190,198
40,42,28	189,188,196
40,42,28	190,189,197
35,38,21	191,190,198
26,30,15	191,190,198
28,32,17	190,190,198
28,32,17	189,189,197
51,50,32	124,121,130
51,50,32	124,121,130
54,55,37	126,123,132
57,59,38	127,126,132
60,61,43	124,121,128
63,64,48	125,122,129
51,53,32	124,123,129
55,56,38	127,124,131
55,56,40	127,124,131
98,70,58	28,29,23
96,66,55	30,29,24
98,68,57	36,35,30
88,62,49	32,33,27
97,69,57	31,32,26
96,67,53	39,38,33
72,45,34	34,34,26
86,58,46	38,38,30
87,59,47	39,40,32
29,26,9	30,31,26
31,28,9	31,30,25
31,28,11	29,29,21
26,23,6	23,24,19
28,25,8	34,33,28
25,24,4	35,35,27
24,21,4	33,34,28
23,20,3	34,34,26
25,24,6	39,36,27
47,59,11	112,93,60
47,59,11	114,98,62
53,65,19	119,103,67
50,62,16	115,96,64
50,62,16	113,97,63
48,60,12	113,97,61
53,65,17	113,94,62
51,63,15	109,90,57
51,60,13	108,92,56
106,96,45	112,93,60
111,101,52	114,98,62
116,108,59	119,103,67
114,104,55	115,96,64
114,103,57	113,97,63
117,109,63	113,97,61
120,112,66	113,94,62
117,109,63	109,90,57
120,112,66	108,92,56
112,93,60	79,71,58
114,98,62	80,74,58
119,103,67	80,74,58
115,96,64	80,72,59
113,97,63	78,72,56
113,97,61	81,75,59
113,94,62	81,74,58
109,90,57	81,74,58
108,92,56	81,74,58
25,37,0	200,202,199
25,38,0	202,203,198
28,41,0	202,203,198
21,33,0	200,202,199
24,36,0	202,204,199
26,38,0	202,203,198
25,37,1	200,202,199
25,37,0	201,203,198
23,38,0	202,204,199
106,83,33	51,53,50
115,88,35	57,59,56
129,100,42	61,63,60
116,91,35	53,55,50
124,98,41	63,65,62
135,106,46	65,67,64
124,100,38	65,67,62
129,105,41	67,68,63
129,104,40	64,64,62
35,51,12	
22,40,2	
22,40,2	
30,46,7	
23,39,2	
21,39,1	
22,38,1	
23,39,2	
22,38,1	
114,84,50	
108,79,45	
104,75,41	
111,80,49	
108,79,45	
104,75,41	
120,91,59	
111,82,48	
101,72,38	
